Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population,Renewable Vehicles,Non-Renewable Vehicles
2020,Michigan,0,0.3,14,2,9.2,18.9,0,3,13,3,51,17,51,10070.627,1465400,6946000
2020,Minnesota,0,0.3,10,1,5.7,21.0,0,3,9,1,32,19,32,5710.578,823700,4324100
2020,Mississippi,0,0.1,6,1,8.6,19.2,0,1,6,1,48,17,48,2958.409,398300,2297400
2020,Missouri,0,0.3,13,7,8.5,22.7,0,3,12,10,47,21,47,6154.426,833700,4654500
2020,Montana,0,0.2,2,1,6.1,17.8,0,2,2,1,34,16,34,1087.211,143300,807100
2020,Nebraska,0,0.3,0,1,7.3,19.7,0,3,0,1,41,18,41,1963.273,286100,1572900
2020,Nevada,0,0.3,23,1,7.3,25.0,0,3,22,1,41,23,41,3115.84,241800,2135500
2020,New Hampshire,0,0.1,4,1,4.5,12.7,0,1,4,1,25,12,25,1378.702,164400,1197200
2020,New Jersey,0,0.3,17,1,7.8,0.0,0,3,16,1,43,0,43,9272.392,696200,6334000
2020,New Mexico,0,0.2,10,1,6.7,33.2,0,2,9,1,37,30,37,2118.488,230900,1598800
2020,New York,0,0.2,16,1,6.5,0.0,0,2,15,1,36,0,36,20104.71,1278400,10080700
2020,North Carolina,0,0.3,9,1,6.8,11.2,0,3,8,1,38,10,38,10453.812,1037700,7632900
2020,North Dakota,0,0.2,4,2,4.6,9.5,0,2,4,3,26,9,26,779.563,140500,624900
2020,Ohio,0,0.2,14,1,8.5,14.9,0,2,13,1,47,14,47,11798.292,1301600,8931800
2020,Oklahoma,0,0.4,11,1,8.2,18.4,0,5,10,1,46,17,46,3965.234,609400,3316900
2020,Oregon,0,0.3,11,0,14.5,24.2,0,3,10,0,61,22,61,4245.044,362700,3236400
2020,Pennsylvania,0,0.2,10,1,7.6,14.7,0,2,9,1,42,13,42,12995.477,1124300,9022500
2020,Rhode Island,0,0.4,12,0,5.9,0.0,0,5,11,0,33,0,33,1096.444,76400,798700
2020,South Carolina,0,-0.0,7,0,7.0,13.6,0,0,7,0,39,12,39,5132.151,572700,4131300
2020,South Dakota,0,0.2,5,1,5.2,19.7,0,2,5,1,29,18,29,887.852,147500,753900
2020,Tennessee,0,0.2,11,3,7.9,16.3,0,2,10,4,44,15,44,6926.091,719400,5400000
2020,Texas,0,0.3,10,2,8.6,0.0,0,3,9,3,48,0,48,29234.361,3584900,20716700
2020,Utah,0,0.1,12,1,7.6,0.0,0,1,11,1,42,0,42,3283.982,297900,2537400
2020,Vermont,0,0.2,8,0,5.6,0.0,0,2,8,0,31,0,31,642.936,77200,520700
2020,Virginia,0,0.3,10,2,6.9,0.0,0,3,9,3,38,0,38,8637.193,808000,6830200
2020,Washington,0,0.2,18,2,9.4,26.8,0,2,17,3,52,24,52,7724.566,704200,6013900
2020,West Virginia,0,0.2,0,3,7.0,13.0,0,2,0,4,39,12,39,1791.562,191400,1274300
2020,Wisconsin,0,0.2,9,1,6.8,14.9,0,2,8,1,38,14,38,5896.7,850400,4669800
2020,Wyoming,0,0.1,4,1,3.4,13.7,0,1,4,1,19,12,19,577.664,82400,533600
2021,Alabama,0,0.3,15,1,8.4,21.1,0,3,14,1,47,19,47,5050.38,540500,4174500
